DoW,8:15-9:00,9:00-9:45,9:45-9:55,9:55-10:35,10:35-11:15,11:15-11:55,11:55-12:35,12:35-1:10,1:10-1:55,1:55-2:40,2:40-2:50,2:50-3:30
Monday,MATH/BS/PSY,MATH/BS/PSY,Break,CHEM/ART/ACC/POL. SCI.,CHEM/ART/ACC/POL. SCI.,SB/SE,Activity,Lunch,ENGLISH,CHEM/ART/ACC/POL. SCI.,Break,ENGLISH
Tuesday,MATH/BS/PSY,CHEM/ART/ACC/POL. SCI.,Break,MATH/BS/PSY,PHY/COMM/HOME SCI./HIS,PHY/COMM/HOME SCI./HIS,Activity,Lunch,CHEM/ART/ACC/POL. SCI.,BIO/ECO/COMP/EVS,Break,ENGLISH
Wednesday,PHY/COMM/HOME SCI./HIS,BIO/ECO/COMP/EVS,Break,MATH/BS/PSY,CHEM/ART/ACC/POL. SCI.,BIO/ECO/COMP/EVS,Activity,Lunch,BIO/ECO/COMP/EVS,ENGLISH,Break,MATH/BS/PSY
Thursday,CHEM/ART/ACC/POL. SCI.,BIO/ECO/COMP/EVS,Break,PHY/COMM/HOME SCI./HIS,PHY/COMM/HOME SCI./HIS,MATH/BS/PSY,Activity,Lunch,PHY/COMM/HOME SCI./HIS,PHY/COMM/HOME SCI./HIS,Break,ENGLISH
Friday,BIO/ECO/COMP/EVS,PHY/COMM/HOME SCI./HIS,Break,MATH/BS/PSY,BIO/ECO/COMP/EVS,ENGLISH,Activity,Lunch,CHEM/ART/ACC/POL. SCI.,MATH/BS/PSY,Break,BIO/ECO/COMP/EVS
