DoW,8:15-9:00,9:00-9:45,9:45-9:55,9:55-10:35,10:35-11:15,11:15-11:55,11:55-12:35,12:35-1:10,1:10-1:55,1:55-2:40,2:40-2:50,2:50-3:30
Monday,HISTORY,KANNADA,Break,BIOLOGY/CS,ENGLISH,KANNADA,Activity,Lunch,GEOGRAPHY,PHYSICS/CS,Break,PHYSICS/CS
Tuesday,ENGLISH,MATH,Break,ENGLISH,HISTORY,PHYSICS/CS,Activity,Lunch,MATH,BIOLOGY/CS,Break,CG
Wednesday,HINDI/FRENCH,ENGLISH,Break,CHEMISTRY/CS,HINDI/FRENCH,MATH,Activity,Lunch,CHEMISTRY/CS,ENGLISH,Break,GEOGRAPHY
Thursday,BIOLOGY/CS,MATH,Break,COMP,HINDI/FRENCH,MATH,Activity,Lunch,MATH,KANNADA,Break,SB
Friday,CHEMISTRY/CS,HISTORY,Break,ART,HISTORY,ENGLISH,Activity,Lunch,GEOGRAPHY,LIB/ATL,Break,GEOGRAPHY
