DoW,8:15-9:00,9:00-9:45,9:45-9:55,9:55-10:35,10:35-11:15,11:15-11:55,11:55-12:35,12:35-1:10,1:10-1:55,1:55-2:40,2:40-2:50,2:50-3:30
Monday,CHEM/ART/ACC/POL. SCI.,CHEM/ART/ACC/POL. SCI.,Break,ENGLISH,MATH/BS/PSY,PHY/COMM/HOME SCI./HIS,Activity,Lunch,MATH/BS/PSY,BIO/ECO/COMP/EVS,Break,PHY/COMM/HOME SCI./HIS
Tuesday,ENGLISH,CHEM/ART/ACC/POL. SCI.,Break,BIO/ECO/COMP/EVS,ENGLISH,BIO/ECO/COMP/EVS,Activity,Lunch,CHEM/ART/ACC/POL. SCI.,MATH/BS/PSY,Break,BIO/ECO/COMP/EVS
Wednesday,ENGLISH,ENGLISH,Break,BIO/ECO/COMP/EVS,CHEM/ART/ACC/POL. SCI.,BIO/ECO/COMP/EVS,Activity,Lunch,PHY/COMM/HOME SCI./HIS,MATH/BS/PSY,Break,MATH/BS/PSY
Thursday,PHY/COMM/HOME SCI./HIS,PHY/COMM/HOME SCI./HIS,Break,PHY/COMM/HOME SCI./HIS,MATH/BS/PSY,PHY/COMM/HOME SCI./HIS,Activity,Lunch,CHEM/ART/ACC/POL. SCI.,MATH/BS/PSY,Break,MATH/BS/PSY
Friday,CHEM/ART/ACC/POL. SCI.,MATH/BS/PSY,Break,BIO/ECO/COMP/EVS,CHEM/ART/ACC/POL. SCI.,ENGLISH,Activity,Lunch,BIO/ECO/COMP/EVS,CG,Break,PHY/COMM/HOME SCI./HIS
