DoW,8:15-9:00,9:00-9:45,9:45-9:55,9:55-10:35,10:35-11:15,11:15-11:55,11:55-12:35,12:35-1:10,1:10-1:55,1:55-2:40,2:40-2:50,2:50-3:30
Monday,MATH,GEOGRAPHY,Break,ENGLISH,GEOGRAPHY,ENGLISH,Activity,Lunch,ELECTIVES,ENGLISH,Break,BIOLOGY/CS
Tuesday,GEOGRAPHY,PHYSICS/CS,Break,CHEMISTRY/CS,HISTORY,ELECTIVES,Activity,Lunch,L2,CHEMISTRY/CS,Break,HISTORY
Wednesday,PHYSICS/CS,L2,Break,ELECTIVES,SB/SE/CG,CHEMISTRY/CS,Activity,Lunch,ENGLISH,BIOLOGY/CS,Break,HISTORY
Thursday,ENGLISH,HISTORY,Break,MATH,ENGLISH,L2,Activity,Lunch,L2,MATH,Break,BIOLOGY/CS
Friday,MATH,PHYSICS/CS,Break,MATH,CHEMISTRY/CS,PHYSICS/CS,Activity,Lunch,BIOLOGY/CS,MATH,Break,GEOGRAPHY
