DoW,8:15-9:00,9:00-9:45,9:45-9:55,9:55-10:35,10:35-11:15,11:15-11:55,11:55-12:35,12:35-1:10,1:10-1:55,1:55-2:40,2:40-2:50,2:50-3:30
Monday,ENGLISH,PHYSICS/CS,Break,CHEMISTRY/CS,CHEMISTRY/CS,L2,Activity,Lunch,ELECTIVES,L2,Break,MATH
Tuesday,PHYSICS/CS,L2,Break,BIOLOGY/CS,CHEMISTRY/CS,CHEMISTRY/CS,Activity,Lunch,ELECTIVES,ENGLISH,Break,ENGLISH
Wednesday,ELECTIVES,MATH,Break,HISTORY,PHYSICS/CS,MATH,Activity,Lunch,ENGLISH,ENGLISH,Break,GEOGRAPHY
Thursday,HISTORY,MATH,Break,BIOLOGY/CS,PHYSICS/CS,MATH,Activity,Lunch,L2,BIOLOGY/CS,Break,MATH
Friday,HISTORY,ENGLISH,Break,GEOGRAPHY,HISTORY,L2,Activity,Lunch,GEOGRAPHY,BIOLOGY/CS,Break,GEOGRAPHY
