DoW,8:15-9:00,9:00-9:45,9:45-9:55,9:55-10:35,10:35-11:15,11:15-11:55,11:55-12:35,12:35-1:10,1:10-1:55,1:55-2:40,2:40-2:50,2:50-3:30
Monday,PHYSICS/CS,BIOLOGY/CS,Break,CG,ENGLISH,KANNADA,Activity,Lunch,MATH,HINDI/FRENCH,Break,PHYSICS/CS
Tuesday,HISTORY,HISTORY,Break,CHEMISTRY/CS,ENGLISH,MATH,Activity,Lunch,MATH,PHYSICS/CS,Break,MATH
Wednesday,HISTORY,ENGLISH,Break,HISTORY,BIOLOGY/CS,CHEMISTRY/CS,Activity,Lunch,KANNADA,ENGLISH,Break,CHEMISTRY/CS
Thursday,BIOLOGY/CS,MATH,Break,COMP,SB,KANNADA,Activity,Lunch,ENGLISH,GEOGRAPHY,Break,GEOGRAPHY
Friday,GEOGRAPHY,HINDI/FRENCH,Break,MATH,LIB/ATL,HINDI/FRENCH,Activity,Lunch,ENGLISH,ART,Break,GEOGRAPHY
